AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing,Status
700000009872,Termon Road,Dungannon,54.58603591,-7.01601548,263668,371310,active
700000009873,Conlins Filling Station,Dungannon,54.58656253,-7.0067994,264263,371377,active
700000009874,Coolbrack Road,Dungannon,54.58864331,-6.99550305,264990,371619,active
700000009875,Termon Road,Dungannon,54.59133723,-6.97182995,266516,371941,active
700000009876,Loughmallon Road,Dungannon,54.5964813,-6.95672374,267484,372528,active
700000009877,Harveys,Dungannon,54.59754461,-6.95190019,267794,372651,active
700000009878,Termon Road,Dungannon,54.59665647,-6.94790033,268054,372556,active
700000009879,Kerragh,Dungannon,54.59532868,-6.93781633,268708,372418,active
700000009880,Tremogue Road,Dungannon,54.58926175,-6.98993448,265349,371693,active
700000009881,Grogans Farm,Dungannon,54.59437892,-6.96401787,267016,372287,active
700000009882,Church of the Assumption,Dungannon,54.59447129,-6.93022691,269200,372330,active
700000009883,Square,Dungannon,54.59386012,-6.92714878,269400,372265,active
700000009884,Station Road,Dungannon,54.59288768,-6.92386367,269614,372160,active
700000009885,Rowan Tree Centre,Dungannon,54.59202597,-6.92091613,269806,372067,active
700000009886,Mc Gees Lane,Dungannon,54.58787362,-6.91567378,270152,371610,active
700000009887,Axon,Dungannon,54.58470504,-6.90896778,270591,371264,active
700000009888,Bawn Oh,Dungannon,54.58096408,-6.90159769,271074,370855,active
700000009889,Cuddys Hilltop,Dungannon,54.57548891,-6.89521919,271496,370252,active
700000009890,Corrycroar,Dungannon,54.57324245,-6.89319245,271631,370004,active
700000009891,Lurganeden Road,Dungannon,54.57002928,-6.89057369,271806,369649,active
700000009892,Shanmaghery Road,Dungannon,54.56638915,-6.88451928,272204,369250,active
700000009893,Gortavoy Bridge,Dungannon,54.56402159,-6.87719425,272682,368994,active
700000009894,Dungororan Road,Dungannon,54.5609312,-6.86851426,273249,368659,active
700000009895,Pomeroy Road,Dungannon,54.55892332,-6.86515371,273470,368439,active
700000009896,Killymacardle Road,Dungannon,54.55520477,-6.85759066,273966,368033,active
700000009897,Hayes Coalyard,Dungannon,54.55193468,-6.8500009,274463,367677,active
700000009898,Mullaghfurtherland Road,Dungannon,54.54898598,-6.84319139,274909,367356,active
700000009899,Skea,Dungannon,54.54582812,-6.83615703,275370,367012,active
700000009900,Dobsons,Dungannon,54.54300079,-6.82990231,275780,366704,active
700000009901,Bog Road,Dungannon,54.54087105,-6.82613142,276028,366471,active
700000009902,Torrent View,Dungannon,54.53336076,-6.81692364,276638,365645,active
700000009903,Lismore Drive,Dungannon,54.53224918,-6.81533378,276743,365523,active
700000009904,Main Street,Dungannon,54.53084264,-6.81206883,276957,365370,active
700000009905,Ballygawley Road,Dungannon,54.50335954,-6.77675956,279296,362350,active
700000009906,Ashdene,Dungannon,54.5024096,-6.78322494,278879,362237,active
